Scheme Code;Scheme Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool (Greater than 3 yrs);;;;;10.0000;19-Aug-2026
139618;Taurus Investor Education Pool (Greater than 3 yrs);;;;;10.0000;19-Aug-2026
139617;Taurus Unclaimed Dividend & Redemption Liability (Less than 3 yrs);;;;;17.7418;19-Aug-2026

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Axis Mutual Fund
149383;Axis Multicap Fund;Direct Plan;Growth Option;INF846K013E0;;20.89;19-Aug-2026
149384;Axis Multicap Fund;Direct Plan;IDCW Option;INF846K014E8;INF846K015E5;19.87;19-Aug-2026
149382;Axis Multicap Fund;Regular Plan;Growth Option;INF846K016E3;;19.70;19-Aug-2026
149387;Axis Multicap Fund;Regular Plan;IDCW Option;INF846K017E1;INF846K018E9;18.75;19-Aug-2026

Bajaj Finserv Mutual Fund
153309;Bajaj Finserv Multi Cap Fund;Direct Plan;Growth;INF0QA701AV7;;12.558;19-Aug-2026
153306;Bajaj Finserv Multi Cap Fund;Direct Plan;IDCW;INF0QA701AW5;INF0QA701AX3;12.558;19-Aug-2026
153307;Bajaj Finserv Multi Cap Fund;Regular Plan;Growth;INF0QA701AS3;;12.278;19-Aug-2026
153308;Bajaj Finserv Multi Cap Fund;Regular Plan;IDCW;INF0QA701AT1;INF0QA701AU9;12.278;19-Aug-2026

Bandhan Mutual Fund
149303;BANDHAN MULTI CAP FUND;Direct Plan;Growth;INF194KB1CL0;;18.940;19-Aug-2026
149305;BANDHAN MULTI CAP FUND;Regular Plan;Growth;INF194KB1CI6;;17.631;19-Aug-2026
149304;BANDHAN MULTI CAP FUND;Direct Plan;IDCW;INF194KB1CM8;INF194KB1CN6;16.689;19-Aug-2026
149302;BANDHAN MULTI CAP FUND;Regular Plan;IDCW;INF194KB1CJ4;INF194KB1CK2;15.372;19-Aug-2026

Bank of India Mutual Fund
151443;BANK OF INDIA MULTI CAP FUND;Direct Plan;Growth;INF761K01FR0;;20.72;19-Aug-2026
151444;BANK OF INDIA MULTI CAP FUND;Direct Plan;IDCW;INF761K01FQ2;INF761K01FS8;20.69;19-Aug-2026
151445;BANK OF INDIA MULTI CAP FUND;Regular Plan;Growth;INF761K01FU4;;19.92;19-Aug-2026
151446;BANK OF INDIA MULTI CAP FUND;Regular Plan;IDCW;INF761K01FT6;INF761K01FV2;19.91;19-Aug-2026

Baroda BNP Paribas Mutual Fund
119354;Baroda BNP Paribas Multi Cap Fund;Direct Plan;Growth Option;INF955L01AG0;;340.4140;19-Aug-2026
119353;Baroda BNP Paribas Multi Cap Fund;Direct Plan;IDCW Option;INF955L01AE5;;56.3233;19-Aug-2026
102020;Baroda BNP Paribas Multi Cap Fund;Regular Plan;Growth Option;INF955L01674;;299.8424;19-Aug-2026
102021;Baroda BNP Paribas Multi Cap Fund;Regular Plan;IDCW Option;INF955L01658;INF955L01666;52.4178;19-Aug-2026

Canara Robeco Mutual Fund
151824;Canara Robeco Multi Cap Fund;Direct Plan;Growth Option;INF760K01KO9;;15.8400;19-Aug-2026
