Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;Direct Plan;Growth;INF761K01EU7;;1398.1677;22-Aug-2026
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01EV5;1000.0000;22-Aug-2026
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;Direct Plan;Monthly IDCW;INF761K01EY9;INF761K01EX1;1003.6551;22-Aug-2026
147950;BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01EW3;1000.6868;22-Aug-2026
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;Regular Plan;Growth;INF761K01EZ6;;1393.7947;22-Aug-2026
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01FA6;1000.0000;22-Aug-2026
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;Regular Plan;Monthly IDCW;INF761K01FD0;INF761K01FC2;1003.6221;22-Aug-2026
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;;;1000.0000;22-Aug-2026
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;;;1314.5359;22-Aug-2026
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;;;1000.0000;22-Aug-2026
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;;;1314.7645;22-Aug-2026

Canara Robeco Mutual Fund
147532;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW (Reinvestment);Direct Plan;DAILY IDCW (Reinvestment);;INF760K01JN3;1001.0012;22-Aug-2026
147531;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION;Direct Plan;GROWTH OPTION;INF760K01JM5;;1418.6100;22-Aug-2026
147533;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW (Reinvestment);Regular Plan;DAILY IDCW (Reinvestment);;INF760K01JP8;1001.0000;22-Aug-2026
147534;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - GROWTH OPTION;Regular Plan;GROWTH OPTION;INF760K01JO1;;1416.9909;22-Aug-2026

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01KD5;INF754K01KC7;1351.7961;22-Aug-2026
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01JW7;1000.2441;22-Aug-2026
147550;Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01JZ0;INF754K01JY3;1368.5163;22-Aug-2026
147570;Edelweiss Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF754K01JV9;;1421.5991;22-Aug-2026
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01KB9;INF754K01KA1;1061.6378;22-Aug-2026
147558;Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option;Direct Plan;Weekly IDCW;;INF754K01JX5;1379.096;22-Aug-2026
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01KM6;INF754K01KL8;1345.8485;22-Aug-2026
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;Regular Plan;Daily IDCW;;INF754K01KF0;1008.3752;22-Aug-2026
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01KI4;INF754K01KH6;1096.3582;22-Aug-2026
147569;Edelweiss Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF754K01KE3;;1416.1056;22-Aug-2026
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01KK0;INF754K01KJ2;1008.3015;22-Aug-2026
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;Regular Plan;Weekly IDCW;;INF754K01KG8;1017.1288;22-Aug-2026
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;;;1000;22-Aug-2026
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;;;1300.6857;22-Aug-2026
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;;;1000;22-Aug-2026
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;;;1300.6841;22-Aug-2026

JM Financial Mutual Fund
147838;JM Overnight Fund (Direct) - Daily IDCW;Direct Plan;Daily IDCW Option;;INF192K01LY2;1000;22-Aug-2026
147835;JM Overnight Fund (Direct) - Weekly IDCW;Direct Plan;Weekly IDCW Option;INF192K01LZ9;INF192K01MA0;1000.529;22-Aug-2026
147839;JM Overnight Fund (Regular) - Daily IDCW;Regular Plan;Daily IDCW Option;;INF192K01LU0;1000;22-Aug-2026
147836;JM Overnight Fund (Regular) - Growth;Regular Plan;Growth Option;INF192K01LX4;;1385.387;22-Aug-2026
147834;JM Overnight Fund (Regular) - Weekly IDCW;Regular Plan;Weekly IDCW Option;INF192K01LV8;INF192K01LW6;1000.5194;22-Aug-2026
147837;JM Overnight Fund - (Direct) - Growth;Direct Plan;Growth Option;INF192K01MB8;;1391.8985;22-Aug-2026
149828;JM Overnight Fund - (Direct) - Unclaimed IDCW - Growth Plan;Direct Plan;Unclaimed IDCW - Growth Plan;INF192K01MJ1;;1397.0915;22-Aug-2026
149827;JM Overnight Fund - (Direct) - Unclaimed IDCW I.E.F. - Growth Plan;Direct Plan;Unclaimed IDCW I.E.F - Growth Plan;INF192K01ML7;;1073.9936;22-Aug-2026
149829;JM Overnight Fund - (Direct) - Unclaimed Redemption - Growth Plan;Direct Plan;Unclaimed Redemption - Growth Plan;INF192K01MI3;;1391.9189;22-Aug-2026
149826;JM Overnight Fund - (Direct) - Unclaimed Redemption I.E.F. - Growth Plan;Direct Plan;Unclaimed Redemption I.E.F - Growth Plan;INF192K01MK9;;1073.9936;22-Aug-2026

LIC Mutual Fund
147516;LIC MF Overnight Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;;INF767K01QG7;1123.7356;22-Aug-2026
147515;LIC MF Overnight Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01QI3;;1424.5754;22-Aug-2026
147513;LIC MF Overnight Fund-Direct Plan-IDCW;Direct Plan;IDCW;INF767K01QE2;INF767K01QF9;1424.7478;22-Aug-2026
147514;LIC MF Overnight Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;;INF767K01QH5;1105.3313;22-Aug-2026
147517;LIC MF Overnight Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;;INF767K01QB8;1122.9061;22-Aug-2026
147519;LIC MF Overnight Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01QD4;;1412.5792;22-Aug-2026
147512;LIC MF Overnight Fund-Regular Plan-IDCW;Regular Plan;IDCW;INF767K01PZ9;INF767K01QA0;1249.3779;22-Aug-2026
147518;LIC MF Overnight Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;;INF767K01QC6;1179.9458;22-Aug-2026

Mahindra Manulife Mutual Fund
147563;Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF174V01846;1425.7831;22-Aug-2026
147564;Mahindra Manulife Overnight Fund - Direct Plan -Growth;Direct Plan;Growth;INF174V01838;;1422.2771;22-Aug-2026
147566;Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF174V01820;1252.4034;22-Aug-2026
147565;Mahindra Manulife Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF174V01812;;1412.1130;22-Aug-2026
149471;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years;;Unclaimed Redemption/IDCW beyond 3 years;;;1000.0000;22-Aug-2026
149470;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years;;Unclaimed Redemption/IDCW upto 3 years;;;1304.3658;22-Aug-2026

Nippon India Mutual Fund
145830;NIPPON INDIA OVERNIGHT FUND - DAILY IDCW Option;Regular Plan;DAILY IDCW Option;;INF204KB1Q73;100.0189;22-Aug-2026
145812;NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - DAILY IDCW Option;Direct Plan;DAILY IDCW Option;;INF204KB1R49;100.0191;22-Aug-2026
145810;Nippon India Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF204KB1R31;;147.6389;22-Aug-2026
145824;NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - MONTHLY IDCW Option;Direct Plan;MONTHLY IDCW Option;INF204KB1R64;INF204KB1R72;100.4839;22-Aug-2026
145825;NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - QUARTERLY IDCW Option;Direct Plan;QUARTERLY IDCW Option;INF204KB1R80;INF204KB1R98;101.1930;22-Aug-2026
145823;NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - WEEKLY IDCW Option;Direct Plan;WEEKLY IDCW Option;;INF204KB1R56;100.0191;22-Aug-2026
145827;NIPPON INDIA OVERNIGHT FUND - MONTHLY IDCW Option;Regular Plan;MONTHLY IDCW Option;INF204KB1Q99;INF204KB1R07;100.4693;22-Aug-2026
145833;NIPPON INDIA OVERNIGHT FUND - QUARTERLY IDCW Option;Regular Plan;QUARTERLY IDCW Option;INF204KB1R15;INF204KB1R23;101.1772;22-Aug-2026
145811;Nippon India Overnight Fund - Regular Plan - Growth Option;Regular Plan;Growth Option;INF204KB1Q65;;146.6064;22-Aug-2026
145826;NIPPON INDIA OVERNIGHT FUND - WEEKLY IDCW Option;Regular Plan;WEEKLY IDCW Option;;INF204KB1Q81;100.0189;22-Aug-2026

PGIM India Mutual Fund
147605;PGIM India Overnight Fund - Direct Plan - Daily Dividend Option;Direct Plan;Direct IDCW;;INF663L01T35;1000.0087;22-Aug-2026
147606;PGIM India Overnight Fund - Direct Plan - Growth Option;Direct Plan;Direct Growth;INF663L01T01;;1416.2643;22-Aug-2026
147608;PGIM India Overnight Fund - Direct Plan - Weekly Dividend Option;Direct Plan;Direct IDCW;INF663L01T19;INF663L01T27;1000.0241;22-Aug-2026
147609;PGIM India Overnight Fund - Regular Plan - Daily Dividend Option;Regular Plan;Regular IDCW;;INF663L01T76;1000;22-Aug-2026
147607;PGIM India Overnight Fund - Regular Plan - Weekly Dividend Option;Regular Plan;Regular IDCW;INF663L01T50;INF663L01T68;1006.8865;22-Aug-2026
147600;PGIM India Overnight Fund - Regular Plan- Growth Option;Regular Plan;Regular Growth;INF663L01T43;;1409.871;22-Aug-2026

Shriram Mutual Fund
154395;Shriram Overnight Fund- Direct Daily IDCW;Direct Plan;Daily IDCW;;INF680P01513;1000.0191;22-Aug-2026
154394;Shriram Overnight Fund- Direct Growth;Direct Plan;Growth;INF680P01497;;1269.0926;22-Aug-2026
154396;Shriram Overnight Fund- Direct Monthly IDCW;Direct Plan;Monthly IDCW;INF680P01612;INF680P01638;1000.683;22-Aug-2026
154398;Shriram Overnight Fund- Regular Daily IDCW;Regular Plan;Daily IDCW;;INF680P01521;1000.01;22-Aug-2026
154399;Shriram Overnight Fund- Regular Growth;Regular Plan;Growth;INF680P01505;;1264.9844;22-Aug-2026
154402;Shriram Overnight Fund- Regular Monthly IDCW;Regular Plan;Monthly IDCW;INF680P01620;INF680P01646;1000.7136;22-Aug-2026

Trust Mutual Fund
149796;TRUST MF OVERNIGHT FUND-DIRECT PLAN-DAILY IDCW REINVESTMENT;Direct Plan;Daily IDCW Reinvestment;;INF0GCD01461;1271.2180;22-Aug-2026
149797;TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH;Direct Plan;Growth;INF0GCD01453;;1299.0731;22-Aug-2026
149798;TRUST MF OVERNIGHT FUND-REGULAR PLAN-DAILY IDCW REINVESTMENT;Regular Plan;Daily IDCW Reinvestment;;INF0GCD01446;1257.9975;22-Aug-2026
149795;TRUST MF OVERNIGHT FUND-REGULAR-GROWTH;Regular Plan;Growth;INF0GCD01438;;1296.0701;22-Aug-2026
153520;TRUSTMF OVERNIGHT FUND - UNCLAIMED REDEMPTION PLAN GROWTH;Direct Plan;Unclaimed Redemption Plan Growth;;;1003.1021;22-Aug-2026

UTI Mutual Fund
100814;UTI - Overnight  Fund - Regular Plan - Growth Option;Regular Plan;Growth;INF789F01604;;3719.192;22-Aug-2026
120785;UTI - Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF789FB1S71;;3761.7894;22-Aug-2026
124266;UTI Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF789FB1S89;1371.6621;22-Aug-2026
120786;UTI Overnight Fund - Direct Plan - Periodic IDCW;Direct Plan;Periodic IDCW;INF789FB1T05;INF789FB1S97;1974.2394;22-Aug-2026
124265;UTI Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF789FB1T13;1370.8617;22-Aug-2026
100813;UTI Overnight Fund - Regular Plan - Periodic IDCW;Regular Plan;Periodic IDCW;INF789F01588;INF789F01596;1915.9984;22-Aug-2026

Open Ended Schemes ( Debt Scheme - Liquid Fund )


Bank of India Mutual Fund
119368;BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01CL0;1005.0000;22-Aug-2026
119369;BANK OF INDIA Liquid Fund- Direct Plan- Growth;Direct Plan;Growth;INF761K01785;;3259.5420;22-Aug-2026
119370;BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01CM8;1005.6772;22-Aug-2026
111971;BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01CO4;1005.0000;22-Aug-2026
109254;BANK OF INDIA Liquid Fund- Regular Plan- Growth;Regular Plan;Growth;INF761K01306;;3225.8397;22-Aug-2026
109255;BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW;Regular Plan;Weekly IDCW;;INF761K01CP1;1005.6692;22-Aug-2026

Canara Robeco Mutual Fund
118307;CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment);Direct Plan;DAILY IDCW (Reinvestment);;INF760K01FS0;1005.5000;22-Aug-2026
118305;CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION;Direct Plan;GROWTH OPTION;INF760K01FU6;;3392.2163;22-Aug-2026
118304;CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment);Direct Plan;IDCW (Payout/Reinvestment);INF760K01FT8;;2257.8235;22-Aug-2026
118306;CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment);Direct Plan;MONTHLY IDCW (Payout/Reinvestment);INF760K01FV4;INF760K01FW2;1004.8020;22-Aug-2026
118308;CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment);Direct Plan;WEEKLY IDCW (Payout/Reinvestment);INF760K01FY8;INF760K01FX0;1000.8839;22-Aug-2026
109349;CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment);Regular Plan;DAILY IDCW (Reinvestment);;INF760K01CU3;1005.5000;22-Aug-2026
109353;CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION;Regular Plan;GROWTH OPTION;INF760K01CW9;;3369.7824;22-Aug-2026
